# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  1680
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 14 4 1824642.59064427 0.1
  1 15 4 1892185.1145282 0.1
  1 16 4 1271782.83095062 0.1
  1 17 4 874834.09582774 0.1
  1 18 4 615805.489534001 0.1
  1 19 4 486938.015724532 0.1
  1 20 4 436037.921103211 0.1
  1 21 4 356932.561565689 0.1
  1 22 4 325512.322638976 0.1
  1 23 4 259657.374586157 0.1
  1 24 4 192075.726377999 0.1
  1 25 4 165911.787325444 0.1
  1 26 4 203076.20479169 0.1
  1 27 4 593677.558070352 0.1
  1 28 4 997924.884274509 0.1
  1 29 4 1730280.271871 0.1
  1 30 4 1253946.23642604 0.1
  1 31 4 1620503.72253599 0.1
  1 32 4 1130621.71562313 0.1
  1 33 4 1021302.818644 0.1
  1 34 4 729591.053359379 0.1
  1 35 4 532003.630233506 0.1
  1 36 4 442351.455817903 0.1
  1 37 4 402007.182176011 0.1
  1 38 4 354071.201378088 0.1
  1 39 4 346391.832450748 0.1
  1 40 4 689136.316485016 0.1
  1 41 4 1142812.12620234 0.1
  1 42 4 1610465.29664428 0.1
  1 43 4 1737204.95758364 0.1
  1 44 4 1521052.06322613 0.1
  1 45 4 1359604.83253162 0.1
  1 46 4 1459725.3388447 0.1
  1 47 4 1678777.43627983 0.1
  1 48 4 1821794.85601764 0.1
  1 49 4 1663236.67980654 0.1
  1 50 4 1369028.32621594 0.1
  1 51 4 1875733.66326997 0.1
  1 52 4 1393861.16224507 0.1
  1 53 4 1396852.77516516 0.1
  1 54 4 1252707.11504076 0.1
  1 55 4 1385774.54140047 0.1
  1 56 4 1378915.05836615 0.1
  1 57 4 1561454.38220757 0.1
  1 58 4 1519292.37704663 0.1
  1 59 4 2300249.29723619 0.1
  1 60 4 1942395.77740612 0.1
  1 61 4 1954944.43444864 0.1
  1 62 4 1821295.80998699 0.1
  1 63 4 1593463.65290759 0.1
  1 64 4 1365322.92709691 0.1
  1 65 4 1054134.11979354 0.1
  1 66 4 1094990.23492906 0.1
  1 67 4 925522.648556526 0.1
  1 68 4 824350.411816815 0.1
  1 69 4 835371.675108095 0.1
  1 70 4 688921.629995053 0.1
  1 71 4 622645.748443507 0.1
  1 72 4 552928.639175518 0.1
  1 73 4 486608.841990514 0.1
  1 74 4 400680.366316636 0.1
  1 75 4 315105.081209908 0.1
  1 76 4 319808.965535851 0.1
  1 77 4 285307.413641113 0.1
  1 78 4 287328.900315122 0.1
  1 79 4 312308.648813393 0.1
  1 80 4 344106.379177274 0.1
  1 1 5 961151.55711555 0.1
  1 2 5 1066662.15602148 0.1
  1 3 5 1329533.89104615 0.1
  1 4 5 1261577.87817784 0.1
  1 5 5 1525144.7518892 0.1
  1 6 5 1082718.19013461 0.1
  1 7 5 1048344.59450414 0.1
  1 8 5 1401715.69099009 0.1
  1 9 5 1412729.91208451 0.1
  1 10 5 986165.720895927 0.1
  1 11 5 1066464.63280286 0.1
  1 12 5 1308811.06834094 0.1
  1 13 5 1286956.46647741 0.1
  1 14 5 1228511.13300511 0.1
  1 15 5 1584954.05724293 0.1
  1 16 5 1365584.35306258 0.1
  1 17 5 1336592.43347811 0.1
  1 18 5 1306081.96420096 0.1
  1 19 5 1287744.52622789 0.1
  1 20 5 1548048.69448344 0.1
  1 21 5 1237428.48038766 0.1
  1 22 5 1321437.27610824 0.1
  1 23 5 1498779.1459317 0.1
  1 24 5 1571066.71016286 0.1
  1 25 5 1397719.30075096 0.1
  1 26 5 1381011.52692452 0.1
  1 27 5 1766628.98252086 0.1
  1 28 5 1707038.34960238 0.1
  1 29 5 1555076.51009323 0.1
  1 30 5 1532749.70296318 0.1
  1 31 5 1790588.22325316 0.1
  1 32 5 1507449.21900934 0.1
  1 33 5 1505692.53590193 0.1
  1 34 5 1556392.79300321 0.1
  1 35 5 1512348.02662453 0.1
  1 36 5 1855715.42453568 0.1
  1 37 5 1840429.04996431 0.1
  1 38 5 1537778.52759433 0.1
  1 39 5 1664416.88178047 0.1
  1 40 5 1798939.69797507 0.1
  1 41 5 1597779.62881294 0.1
  1 42 5 1381118.0517716 0.1
  1 43 5 1401305.23395338 0.1
  1 44 5 1705157.64186928 0.1
  1 45 5 1676044.09010846 0.1
  1 46 5 1519138.50851891 0.1
  1 47 5 1362394.68096001 0.1
  1 48 5 1495184.08299733 0.1
  1 49 5 1518945.06509905 0.1
  1 50 5 1354130.08845292 0.1
  1 51 5 1651251.13478414 0.1
  1 52 5 1522530.40442066 0.1
  1 53 5 1654073.08928636 0.1
  1 54 5 1645103.66829508 0.1
  1 55 5 1755347.37098065 0.1
  1 56 5 1671618.28705214 0.1
  1 57 5 1603033.37221912 0.1
  1 58 5 1905002.56098587 0.1
  1 59 5 1485201.64293253 0.1
  1 60 5 1571984.27080895 0.1
  1 61 5 1781127.77674133 0.1
  1 62 5 1570129.65342646 0.1
  1 63 5 1766537.8001413 0.1
  1 64 5 1344528.76450278 0.1
  1 65 5 1539500.52606149 0.1
  1 66 5 1422377.66219952 0.1
  1 67 5 1628045.92793571 0.1
  1 68 5 1389812.392138 0.1
  1 69 5 1584871.44544491 0.1
  1 70 5 1443118.05717145 0.1
  1 71 5 1510543.20109794 0.1
  1 72 5 1688323.73598111 0.1
  1 73 5 1431716.13358971 0.1
  1 74 5 1454868.28417471 0.1
  1 75 5 1459036.45617151 0.1
  1 76 5 1311062.87915967 0.1
  1 77 5 1555572.77374956 0.1
  1 78 5 1398027.21857412 0.1
  1 79 5 1454535.28689534 0.1
  1 80 5 1555197.71287395 0.1
  1 1 6 6958546.74064247 0.1
  1 2 6 7323511.65740828 0.1
  1 3 6 7144594.17684034 0.1
  1 4 6 6888800.29033762 0.1
  1 5 6 6522128.65128633 0.1
  1 6 6 5818406.79978335 0.1
  1 7 6 6694604.7027708 0.1
  1 8 6 7649089.51337149 0.1
  1 9 6 7897844.77151403 0.1
  1 10 6 5933288.70146549 0.1
  1 11 6 6075207.41051729 0.1
  1 12 6 6195649.57953931 0.1
  1 13 6 5724163.18771077 0.1
  1 14 6 8245708.05121353 0.1
  1 15 6 7459517.57674457 0.1
  1 16 6 6058631.47358237 0.1
  1 17 6 5470596.03324851 0.1
  1 18 6 5700450.85560402 0.1
  1 19 6 4817911.07888381 0.1
  1 20 6 4331020.61175607 0.1
  1 21 6 4608374.88603607 0.1
  1 22 6 3810251.87366339 0.1
  1 23 6 4150615.15167016 0.1
  1 24 6 4008673.16071401 0.1
  1 25 6 3840916.27813639 0.1
  1 26 6 3945524.14409893 0.1
  1 27 6 3492916.67885821 0.1
  1 28 6 3732654.37164492 0.1
  1 29 6 3658817.32543604 0.1
  1 30 6 3314721.01775885 0.1
  1 31 6 3813075.56853077 0.1
  1 32 6 3931866.54673918 0.1
  1 33 6 3479216.50089207 0.1
  1 34 6 3050423.69559832 0.1
  1 35 6 3411527.13201769 0.1
  1 36 6 3488594.6887825 0.1
  1 37 6 3788348.45012345 0.1
  1 38 6 3287694.41047248 0.1
  1 39 6 3374424.81311404 0.1
  1 40 6 3296026.59422173 0.1
  1 41 6 3990993.69166016 0.1
  1 42 6 3540735.97178071 0.1
  1 43 6 4340510.03077789 0.1
  1 44 6 4897825.40218046 0.1
  1 45 6 4224938.80472937 0.1
  1 46 6 4627101.86032117 0.1
  1 47 6 4815852.69552541 0.1
  1 48 6 4453453.39018276 0.1
  1 49 6 4223447.60160429 0.1
  1 50 6 5471644.79601898 0.1
  1 51 6 3644691.84514982 0.1
  1 52 6 5277119.34787317 0.1
  1 53 6 4719703.67711369 0.1
  1 54 6 4880133.15538098 0.1
  1 55 6 6362208.77860482 0.1
  1 56 6 5509544.23518858 0.1
  1 57 6 5990952.19951468 0.1
  1 58 6 5131900.25514653 0.1
  1 59 6 4336711.53665031 0.1
  1 60 6 4487109.63760153 0.1
  1 61 6 5986232.919021 0.1
  1 62 6 5555484.24805479 0.1
  1 63 6 5522549.27650535 0.1
  1 64 6 6138339.63117439 0.1
  1 65 6 4799983.18058184 0.1
  1 66 6 5210038.819027 0.1
  1 67 6 4909181.31648889 0.1
  1 68 6 4908522.40744696 0.1
  1 69 6 4800911.07569796 0.1
  1 70 6 5368519.8674382 0.1
  1 71 6 5396146.99263843 0.1
  1 72 6 5346464.63557071 0.1
  1 73 6 4573220.33997715 0.1
  1 74 6 5167669.39536089 0.1
  1 75 6 5371496.06755677 0.1
  1 76 6 4300958.4762491 0.1
  1 77 6 5670606.75527303 0.1
  1 78 6 5025213.34667169 0.1
  1 79 6 4355498.49903892 0.1
  1 80 6 5382379.20320952 0.1
  1 1 7 6613350.71291161 0.1
  1 2 7 6044844.7218754 0.1
  1 3 7 5027275.57618098 0.1
  1 4 7 5057302.86421837 0.1
  1 5 7 4873325.2915989 0.1
  1 6 7 5381014.51489557 0.1
  1 7 7 5057709.10409449 0.1
  1 8 7 4896188.72101262 0.1
  1 9 7 6293217.82297 0.1
  1 10 7 5533677.90909724 0.1
  1 11 7 5225605.03106329 0.1
  1 12 7 6004682.58514341 0.1
  1 13 7 4988996.06438931 0.1
  1 14 7 5671088.88800002 0.1
  1 15 7 4513498.85301892 0.1
  1 16 7 4586842.45452143 0.1
  1 17 7 4325626.92656185 0.1
  1 18 7 4180345.04165049 0.1
  1 19 7 3991361.82552425 0.1
  1 20 7 4290435.26514524 0.1
  1 21 7 5134106.60920311 0.1
  1 22 7 3963253.335698 0.1
  1 23 7 4251454.1934127 0.1
  1 24 7 4610533.43328268 0.1
  1 25 7 3621677.14406882 0.1
  1 26 7 4196121.12646515 0.1
  1 27 7 3724845.56756825 0.1
  1 28 7 3741751.83030209 0.1
  1 29 7 5022805.63616932 0.1
  1 30 7 5111587.27250772 0.1
  1 31 7 4755436.84593811 0.1
  1 32 7 4674000.02859418 0.1
  1 33 7 4083800.41904079 0.1
  1 34 7 4939829.37010277 0.1
  1 35 7 4484553.48406916 0.1
  1 36 7 4185392.11341702 0.1
  1 37 7 4191255.90498063 0.1
  1 38 7 4756312.11960349 0.1
  1 39 7 4455620.57469606 0.1
  1 40 7 4326707.1300845 0.1
  1 41 7 4405322.18510874 0.1
  1 42 7 4375526.16921515 0.1
  1 43 7 5015894.18702857 0.1
  1 44 7 5048687.03512551 0.1
  1 45 7 5024428.56785584 0.1
  1 46 7 3963909.78932506 0.1
  1 47 7 4976851.51477947 0.1
  1 48 7 4267377.42258395 0.1
  1 49 7 5584621.33083601 0.1
  1 50 7 5280640.00906864 0.1
  1 51 7 4652692.73283305 0.1
  1 52 7 4541820.75705793 0.1
  1 53 7 5210836.62635941 0.1
  1 54 7 4565695.07962116 0.1
  1 55 7 4880430.48219146 0.1
  1 56 7 6337243.72477953 0.1
  1 57 7 5151643.32780222 0.1
  1 58 7 5800772.22160255 0.1
  1 59 7 5556885.62667524 0.1
  1 60 7 4724996.90919769 0.1
  1 61 7 4678085.30258466 0.1
  1 62 7 4972186.64164876 0.1
  1 63 7 4970089.94078101 0.1
  1 64 7 5094176.12028651 0.1
  1 65 7 4530673.08175484 0.1
  1 66 7 5108105.41790784 0.1
  1 67 7 4223042.07179053 0.1
  1 68 7 4450533.05167684 0.1
  1 69 7 4925024.93993163 0.1
  1 70 7 4369268.76860719 0.1
  1 71 7 5139575.54370032 0.1
  1 72 7 4775704.58858578 0.1
  1 73 7 4566729.00942364 0.1
  1 74 7 4949751.79110522 0.1
  1 75 7 5389055.11865472 0.1
  1 76 7 5054315.28672641 0.1
  1 77 7 4793210.64224781 0.1
  1 78 7 4510659.11996196 0.1
  1 79 7 4432069.60470711 0.1
  1 80 7 4126072.54995083 0.1
  1 1 8 1912536.13752275 0.1
  1 2 8 1662203.15411653 0.1
  1 3 8 1482407.91974829 0.1
  1 4 8 1511641.32628171 0.1
  1 5 8 1393750.84101783 0.1
  1 6 8 1584884.02390466 0.1
  1 7 8 1564241.77198118 0.1
  1 8 8 1878278.59013997 0.1
  1 9 8 1674174.14883217 0.1
  1 10 8 2263085.97524786 0.1
  1 11 8 2221207.36268988 0.1
  1 12 8 1967695.04006197 0.1
  1 13 8 1353246.30285557 0.1
  1 14 8 1096344.57870808 0.1
  1 15 8 772113.285932354 0.1
  1 16 8 613088.403112104 0.1
  1 17 8 409252.432176481 0.1
  1 18 8 420243.083973742 0.1
  1 19 8 435774.674971642 0.1
  1 20 8 307262.858565418 0.1
  1 21 8 226456.407786912 0.1
  1 22 8 231478.809924446 0.1
  1 23 8 523953.559295144 0.1
  1 24 8 481584.316229748 0.1
  1 25 8 862598.493470133 0.1
  1 26 8 879991.064454899 0.1
  1 27 8 999115.192706031 0.1
  1 28 8 1237460.43435973 0.1
  1 29 8 1044083.34231693 0.1
  1 30 8 834360.664083813 0.1
  1 31 8 829819.850412393 0.1
  1 32 8 741251.638165936 0.1
  1 33 8 805019.330715574 0.1
  1 34 8 749889.729722045 0.1
  1 35 8 634830.418282443 0.1
  1 36 8 804289.556476724 0.1
  1 37 8 979054.498689786 0.1
  1 38 8 1123433.93849344 0.1
  1 39 8 1018776.77014799 0.1
  1 40 8 1230300.03955032 0.1
  1 41 8 1593506.60444306 0.1
  1 42 8 1761896.62629541 0.1
  1 43 8 1514647.20040176 0.1
  1 44 8 1793343.44169004 0.1
  1 45 8 1438169.05411628 0.1
  1 46 8 2016760.76603034 0.1
  1 47 8 1672088.16861188 0.1
  1 48 8 1552670.52747104 0.1
  1 49 8 2075650.72338697 0.1
  1 50 8 2095951.10102173 0.1
  1 51 8 2795755.08681146 0.1
  1 52 8 3503172.8840348 0.1
  1 53 8 3786659.91785047 0.1
  1 54 8 3305788.79312983 0.1
  1 55 8 3599827.8103401 0.1
  1 56 8 2473381.02281728 0.1
  1 57 8 2141139.43006766 0.1
  1 58 8 2114806.98457873 0.1
  1 59 8 2114214.73004159 0.1
  1 60 8 2213045.04735938 0.1
  1 61 8 1998377.38546839 0.1
  1 62 8 2742653.07278213 0.1
  1 63 8 2921603.27422775 0.1
  1 64 8 2751462.86125892 0.1
  1 65 8 3608463.4501594 0.1
  1 66 8 3622619.72516686 0.1
  1 67 8 3078161.12322262 0.1
  1 68 8 2270597.20490715 0.1
  1 69 8 1666628.93303959 0.1
  1 70 8 1550590.50648637 0.1
  1 71 8 1678699.10239367 0.1
  1 72 8 1494481.45449664 0.1
  1 73 8 2565960.18842785 0.1
  1 74 8 3279108.4315192 0.1
  1 75 8 4340160.02496545 0.1
  1 76 8 4658504.64048563 0.1
  1 77 8 5214557.52803689 0.1
  1 78 8 7987288.07067843 0.1
  1 79 8 5634623.65418816 0.1
  1 80 8 4015496.65788835 0.1
  1 1 9 341509.399080328 0.1
  1 2 9 349252.998849427 0.1
  1 3 9 354978.434982279 0.1
  1 4 9 446846.081954562 0.1
  1 5 9 378786.595256505 0.1
  1 6 9 430588.373579117 0.1
  1 7 9 308494.834819251 0.1
  1 8 9 398474.078260164 0.1
  1 9 9 343667.342946504 0.1
  1 10 9 343330.110811191 0.1
  1 11 9 486644.87405435 0.1
  1 12 9 320345.442859981 0.1
  1 13 9 407551.168452149 0.1
  1 14 9 366354.584017651 0.1
  1 15 9 412136.440322221 0.1
  1 16 9 380145.904849467 0.1
  1 17 9 317176.067112337 0.1
  1 18 9 363876.418989372 0.1
  1 19 9 439496.353978586 0.1
  1 20 9 459441.678713841 0.1
  1 21 9 390460.876342768 0.1
  1 22 9 446734.469379801 0.1
  1 23 9 488048.85642162 0.1
  1 24 9 382157.479198367 0.1
  1 25 9 415838.675496328 0.1
  1 26 9 383763.791666864 0.1
  1 27 9 321241.341531099 0.1
  1 28 9 422836.700633267 0.1
  1 29 9 513294.307859371 0.1
  1 30 9 478588.374971647 0.1
  1 31 9 490873.239085362 0.1
  1 32 9 387321.876327504 0.1
  1 33 9 415841.202883263 0.1
  1 34 9 536418.395471249 0.1
  1 35 9 420750.619455528 0.1
  1 36 9 429527.652046404 0.1
  1 37 9 401635.812388566 0.1
  1 38 9 393596.626119714 0.1
  1 39 9 353803.507256342 0.1
  1 40 9 435855.224520571 0.1
  1 41 9 434008.852003849 0.1
  1 42 9 380152.731210025 0.1
  1 43 9 478512.621184683 0.1
  1 44 9 418825.644015134 0.1
  1 45 9 385606.234207149 0.1
  1 46 9 350216.223539745 0.1
  1 47 9 417329.872266633 0.1
  1 48 9 558555.424856991 0.1
  1 49 9 426830.982881283 0.1
  1 50 9 365028.020874547 0.1
  1 51 9 361105.796240989 0.1
  1 52 9 420453.689492061 0.1
  1 53 9 499743.788187643 0.1
  1 54 9 487566.556278225 0.1
  1 55 9 549917.252948655 0.1
  1 56 9 492344.95965341 0.1
  1 57 9 498697.746058571 0.1
  1 58 9 501882.854360863 0.1
  1 59 9 511496.055623995 0.1
  1 60 9 516478.800267832 0.1
  1 61 9 445634.004257447 0.1
  1 62 9 424230.200803956 0.1
  1 63 9 378557.037111052 0.1
  1 64 9 437583.49018867 0.1
  1 65 9 420491.821977273 0.1
  1 66 9 469991.451851829 0.1
  1 67 9 470631.855327489 0.1
  1 68 9 484310.886943038 0.1
  1 69 9 518185.34513669 0.1
  1 70 9 498935.139594624 0.1
  1 71 9 430338.256455986 0.1
  1 72 9 394176.833474361 0.1
  1 73 9 449557.025560477 0.1
  1 74 9 384292.820825799 0.1
  1 75 9 533488.430815702 0.1
  1 76 9 433604.570103452 0.1
  1 77 9 404117.904883083 0.1
  1 78 9 414514.224360281 0.1
  1 79 9 443447.840307442 0.1
  1 80 9 377648.112267971 0.1
  1 1 10 2273825.99486965 0.1
  1 2 10 2549127.1491569 0.1
  1 3 10 2622848.61287629 0.1
  1 4 10 2564699.23630263 0.1
  1 5 10 3221329.09642841 0.1
  1 6 10 2493921.3607372 0.1
  1 7 10 2647148.48030425 0.1
  1 8 10 2506849.79377451 0.1
  1 9 10 2376005.4195196 0.1
  1 10 10 2261109.78959336 0.1
  1 11 10 3194711.08884393 0.1
  1 12 10 1927974.18882777 0.1
  1 13 10 2462028.12674225 0.1
  1 14 10 2857310.20537046 0.1
  1 15 10 2174553.40609877 0.1
